dataset,weight_mode,controller,controller_label,metric,value,ci_low,ci_high,n_boot
highd_external,frequency,pi,Weak TTC,delta_rel90_penalty_vs_star_s,-0.050000000000000044,-0.10000000000000009,0.0,400
highd_external,frequency,pi_tuned,Strong TTC,saturation,0.9736765379649304,0.971092090466075,0.9762182931400724,400
highd_external,frequency,pi_tuned,Strong TTC,delta_abs_q50_s,1.15,1.15,1.15,400
highd_external,frequency,pi_tuned,Strong TTC,delta_abs_q90_s,1.9,1.85,1.95,400
highd_external,frequency,pi_tuned,Strong TTC,delta_abs_q95_s,2.3,2.25,2.4,400
highd_external,frequency,pi_tuned,Strong TTC,delta_rel_q90_s,1.8,1.75,1.8,400
highd_external,frequency,pi_tuned,Strong TTC,sat_gap_vs_star,0.023407888708401048,0.021116039818401332,0.02586634178849594,400
highd_external,frequency,pi_tuned,Strong TTC,delta90_penalty_vs_star_s,0.04999999999999982,0.04999999999999982,0.09999999999999987,400
highd_external,frequency,pi_tuned,Strong TTC,delta_rel90_penalty_vs_star_s,0.0,-0.050000000000000044,0.0,400
highd_external,frequency,pi_sd,Stopping-distance,saturation,0.9937523428714238,0.9922529051605646,0.9949185722020907,400
highd_external,frequency,pi_sd,Stopping-distance,delta_abs_q50_s,1.15,1.15,1.15,400
highd_external,frequency,pi_sd,Stopping-distance,delta_abs_q90_s,1.85,1.8,1.85,400
highd_external,frequency,pi_sd,Stopping-distance,delta_abs_q95_s,2.15,2.1,2.15,400
